epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,51.5369,0.60669,3.02894,1.07015,0.32524,0.36942,0.41791,0.3724,0.54069,2.5897,0.93326,0.000328205,0.000328205,0.000328205
2,75.4744,0.63415,1.61663,0.99978,0.70718,0.59944,0.7232,0.58969,0.68407,1.44735,1.05119,0.000660229,0.000660229,0.000660229
3,99.2033,0.71069,1.4617,1.03498,0.50125,0.46269,0.47927,0.3739,0.74475,2.11303,1.07575,0.000990932,0.000990932,0.000990932
4,123.472,0.72684,1.29654,1.04358,0.63038,0.73789,0.73461,0.6265,0.65514,1.2747,1.00449,0.00099406,0.00099406,0.00099406
5,154.841,0.69521,1.18883,1.03489,0.77792,0.53297,0.64225,0.57245,0.69285,2.12249,1.0561,0.00099208,0.00099208,0.00099208
6,189.273,0.67742,1.05518,1.01175,0.79451,0.63371,0.77383,0.66997,0.61007,1.15269,0.97582,0.0009901,0.0009901,0.0009901
7,215.916,0.64251,1.00949,1.0075,0.73103,0.68417,0.74404,0.64209,0.64534,1.37848,0.98971,0.00098812,0.00098812,0.00098812
8,240.151,0.65429,1.04888,1.01629,0.86038,0.6346,0.80141,0.70723,0.57828,1.13265,0.95608,0.00098614,0.00098614,0.00098614
9,262.238,0.6076,0.94837,0.98141,0.81107,0.78101,0.84236,0.75495,0.50661,0.905,0.88906,0.00098416,0.00098416,0.00098416
10,284.098,0.61763,0.94978,0.99756,0.85585,0.68043,0.81655,0.73354,0.48671,0.86531,0.87966,0.00098218,0.00098218,0.00098218
11,305.957,0.64123,0.94488,1.00269,0.65826,0.71241,0.70789,0.6296,0.55168,1.11195,0.91421,0.0009802,0.0009802,0.0009802
12,328.397,0.61618,0.88027,1.00234,0.78934,0.81302,0.86075,0.75241,0.48928,0.78007,0.87702,0.00097822,0.00097822,0.00097822
13,353.845,0.60827,0.82955,0.97845,0.83764,0.77508,0.84587,0.75107,0.47258,0.77127,0.87062,0.00097624,0.00097624,0.00097624
