epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,98.4817,0.62244,6.87906,1.04415,0.00986,0.84188,0.11345,0.10326,0.27157,9.62183,0.82763,0.00096,0.00032,0.00096,0.00032,0.00096,0.00032,0.00096,0.00032
2,193.751,0.52202,6.66095,0.96902,0.00611,0.92311,0.20975,0.19698,0.30515,9.37747,0.81096,0.00191139,0.00063713,0.00191139,0.00063713,0.00191139,0.00063713,0.00191139,0.00063713
3,288.534,0.54812,6.09083,0.96767,0.56179,0.07651,0.28949,0.28011,0.33807,8.66481,0.80021,0.00282358,0.000941192,0.00282358,0.000941192,0.00282358,0.000941192,0.00282358,0.000941192
4,382.463,0.57529,5.60062,0.95606,0.45673,0.46488,0.44136,0.43165,0.34256,7.90163,0.80847,0.0028218,0.0009406,0.0028218,0.0009406,0.0028218,0.0009406,0.0028218,0.0009406
5,475.59,0.5025,5.29828,0.93697,0.51146,0.53525,0.55796,0.5461,0.32928,7.67891,0.80028,0.0027624,0.0009208,0.0027624,0.0009208,0.0027624,0.0009208,0.0027624,0.0009208
6,569.069,0.51575,4.97061,0.93381,0.4899,0.59068,0.60102,0.58914,0.3014,7.42144,0.7823,0.002703,0.000901,0.002703,0.000901,0.002703,0.000901,0.002703,0.000901
7,661.006,0.52256,4.80746,0.91996,0.59994,0.59213,0.63444,0.62638,0.28867,6.98588,0.77346,0.0026436,0.0008812,0.0026436,0.0008812,0.0026436,0.0008812,0.0026436,0.0008812
8,754.209,0.5158,4.23328,0.9159,0.72222,0.69027,0.73295,0.71559,0.31115,6.54426,0.77951,0.0025842,0.0008614,0.0025842,0.0008614,0.0025842,0.0008614,0.0025842,0.0008614
9,846.842,0.53718,4.48943,0.93056,0.65698,0.712,0.72743,0.71767,0.30198,6.40575,0.77368,0.0025248,0.0008416,0.0025248,0.0008416,0.0025248,0.0008416,0.0025248,0.0008416
10,938.485,0.51537,4.07852,0.91911,0.72103,0.71818,0.77798,0.76521,0.32754,6.03732,0.79171,0.0024654,0.0008218,0.0024654,0.0008218,0.0024654,0.0008218,0.0024654,0.0008218
