image,total_signs_detected,Circular,Octagonal,Square
028195a4-IMG20251123165145.jpg,1,1,0,0
02995950-IMG20260105125533.jpg,1,0,0,1
02fdc633-RV_001_161.jpeg,1,0,0,1
045c881d-RV_001_63.jpeg,2,1,1,0
055b0df8-IMG_4576.jpeg,1,0,0,1
05a0d473-IMG20260105131437.jpg,1,0,0,1
0b36e2e7-IMG_4686.jpeg,1,0,0,1
0d36136c-IMG_4581.jpeg,1,1,0,0
0d4db725-IMG_20260108_180817.jpg,1,1,0,0
14fc8ab8-IMG_5671.jpeg,1,0,0,1
19142da5-IMG_4661.jpeg,1,1,0,0
197d9811-RV_001_129.jpeg,1,0,0,1
1cd299b0-IMG_4635.jpeg,2,2,0,0
1cec6336-IMG_4710.jpeg,1,0,0,1
1ea7fc82-IMG_4719.jpeg,1,0,1,0
2042f137-IMG_4753.jpeg,1,0,0,1
213f8e9b-IMG20260105131202.jpg,1,1,0,0
217ea293-IMG_20260108_180834.jpg,1,1,0,0
2289ce89-IMG_5668.jpeg,1,1,0,0
28293e40-IMG_4763.jpeg,1,0,0,1
2fd3b3ce-IMG_20260108_175838.jpg,2,2,0,0
31f63ece-IMG_4664.jpeg,1,1,0,0
34b8df8a-IMG_4727.jpeg,2,0,1,1
36f21ebc-IMG_5647.jpeg,1,1,0,0
3aa85aff-IMG_4614.jpeg,1,1,0,0
3c2142f0-IMG_4750.jpeg,1,0,0,1
3da0fa16-IMG_5775.jpeg,1,0,0,1
3e4c55b1-IMG20260105131924.jpg,4,2,0,2
3f35aca4-IMG20260105131424.jpg,1,0,0,1
435dd44d-IMG_5649.jpeg,1,1,0,0
46d6ffd8-RV_001_45.jpeg,1,0,1,0
48101429-IMG_4659.jpeg,1,1,0,0
49186c02-IMG_4728.jpeg,1,0,1,0
4ba6bf08-IMG_5663.jpeg,1,1,0,0
4ea12673-IMG20260105120959.jpg,1,0,0,1
5b05ee98-RV_001_123.jpeg,1,0,0,1
5bc12c64-IMG_4744.jpeg,1,1,0,0
61f50766-RV_001_134.jpeg,1,0,0,1
62b4fe02-RV_001_78.jpeg,1,1,0,0
62b94ef7-RV_001_91.jpeg,1,0,0,1
64a36757-IMG20251230164429.jpg,2,1,0,1
69f4eef1-IMG_4684.jpeg,1,0,0,1
6a3e0062-IMG_5642.jpeg,1,0,0,1
6ad6727a-IMG_4779.jpeg,1,1,0,0
6cdc5486-IMG_4729.jpeg,1,0,1,0
710cd2c7-RV_001_151.jpeg,1,1,0,0
746fa27c-IMG_4723.jpeg,1,0,0,1
789dbe3c-RV__4.jpeg,1,1,0,0
7bd11d92-RV_001_122.jpeg,1,0,0,1
7d254610-IMG_4795.jpeg,1,0,1,0
7ec753b3-IMG_5791.jpeg,2,1,1,0
8135c353-IMG_4634.jpeg,1,1,0,0
81446ea0-RV__19.jpeg,1,1,0,0
8596f454-IMG20251230165119.jpg,1,1,0,0
86afb21b-IMG_4742.jpeg,1,1,0,0
87598dd4-IMG_4714.jpeg,1,0,1,0
8d351217-IMG_5780.jpeg,1,0,0,1
8d4432df-IMG_5677.jpeg,1,1,0,0
909ebfa4-RV__12.jpeg,1,0,0,1
911f06e9-RV_001_105.jpeg,1,0,1,0
91985f0a-RV__21.jpeg,1,1,0,0
920329a1-IMG_4622.jpeg,2,0,0,2
95b78e90-IMG20260105132907.jpg,1,0,1,0
9bb0e467-IMG20260103164434.jpg,2,0,0,2
9d50d2e0-IMG_4658.jpeg,0,0,0,0
a03f4247-IMG20251124134435.jpg,1,1,0,0
a1d278d0-IMG_4641.jpeg,1,1,0,0
a1e68149-RV_001_135.jpeg,0,0,0,0
a697f48c-IMG_5784.jpeg,1,1,0,0
a7df285e-RV_001_147.jpeg,1,0,0,1
ab8839d1-IMG_5817.jpeg,1,0,0,1
abffebf5-IMG_4583.jpeg,0,0,0,0
ac5a1ec4-RV__8.jpeg,1,1,0,0
ad4a11e1-IMG_5569.jpeg,1,1,0,0
aefb6199-IMG_4640.jpeg,1,1,0,0
b61d6ec8-IMG_20260108_181206.jpg,1,0,0,1
b8dedf15-IMG_5685.jpeg,1,0,1,0
bdfe5d54-IMG_4732.jpeg,0,0,0,0
bfd3adee-IMG_5672.jpeg,1,0,0,1
c1182f4f-IMG_4770.jpeg,1,1,0,0
c4650dcc-RV_001_165.jpeg,1,0,0,1
c4f1cefc-RV__9.jpeg,1,1,0,0
ca48394e-RV_001_125.jpeg,1,0,1,0
cbe76323-IMG20251124134324.jpg,1,1,0,0
ccb321ab-IMG_5635.jpeg,1,0,0,1
cd03e769-IMG_5786.jpeg,1,1,0,0
cf8b5401-IMG_5555.jpeg,1,0,0,1
d38b46ce-RV_001_68.jpeg,1,1,0,0
d3fbb8b7-IMG_4698.jpeg,1,0,0,1
d4f6899e-IMG20260105131842.jpg,1,1,0,0
d5df4c01-IMG_4734.jpeg,0,0,0,0
d681b797-IMG20260105132903.jpg,1,0,1,0
da3b8835-IMG_4688.jpeg,1,0,0,1
dba8e90b-IMG_5806.jpeg,1,1,0,0
ded40c57-IMG20260105132900.jpg,1,0,1,0
e04cd134-IMG20260105124953.jpg,1,0,1,0
e1306f94-IMG20251230164545.jpg,1,0,1,0
e1696dd2-IMG_5740.jpeg,1,0,1,0
e284a9d2-IMG_4690.jpeg,0,0,0,0
e362badb-IMG_4772.jpeg,1,1,0,0
e4a907bc-IMG20260105121244.jpg,1,1,0,0
e6238c33-IMG_5531.jpeg,1,1,0,0
ecec9d16-RV_001_146.jpeg,1,0,0,1
f0914f6a-IMG_5641.jpeg,1,0,0,1
f17121f2-IMG_5575.jpeg,1,1,0,0
f40bfba6-IMG_5634.jpeg,1,0,0,1
fa18c1a9-IMG_5810.jpeg,1,1,0,0
fa68d72b-IMG_4627.jpeg,1,1,0,0
fdfcc369-IMG_20260108_180757.jpg,1,1,0,0
ff4c9577-IMG_5540.jpeg,1,1,0,0
