epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,29.1583,0.66112,2.45106,1.0953,0.88549,0.71243,0.80939,0.74327,0.43529,1.60941,0.87591,0.00040012,0.00040012,0.00040012
2,46.6307,0.63378,1.19534,0.99731,0.49647,0.48529,0.52267,0.42751,0.87836,3.96797,1.18364,0.000806466,0.000806466,0.000806466
3,65.1865,0.71895,1.02894,1.02965,0.59199,0.55068,0.52525,0.39374,1.37161,4.64518,1.72875,0.00120461,0.00120461,0.00120461
4,83.8891,0.73407,1.01558,1.04407,0.53388,0.53739,0.44547,0.32233,1.19147,8.55199,1.39687,0.00138656,0.00138656,0.00138656
5,100.583,0.6943,0.87496,1.00888,0.63161,0.53108,0.51483,0.40128,1.05433,3.333,1.28956,0.00137241,0.00137241,0.00137241
6,117.672,0.70848,0.88844,1.01607,0.56367,0.4967,0.50165,0.3686,0.97456,2.12447,1.20387,0.00135826,0.00135826,0.00135826
7,134.629,0.62571,0.82747,0.98676,0.70213,0.62607,0.71316,0.57906,0.75849,1.6709,1.06247,0.00134412,0.00134412,0.00134412
8,151.6,0.64066,0.76593,0.99165,0.65687,0.76854,0.73093,0.57227,0.63932,1.31972,0.99446,0.00132997,0.00132997,0.00132997
9,170.171,0.63476,0.76035,0.99681,0.87271,0.75818,0.8537,0.75583,0.57567,0.89518,0.94081,0.00131582,0.00131582,0.00131582
10,186.288,0.63688,0.75908,0.9891,0.79069,0.82086,0.83874,0.72946,0.62749,0.73975,0.98209,0.00130168,0.00130168,0.00130168
11,204.047,0.61722,0.71326,0.9754,0.76195,0.75138,0.7888,0.68309,0.61665,1.1505,0.99881,0.00128753,0.00128753,0.00128753
12,221.121,0.55245,0.66444,0.95439,0.96292,0.81993,0.88352,0.77609,0.49317,0.58381,0.91403,0.00127338,0.00127338,0.00127338
13,238.441,0.56935,0.65032,0.95575,0.87642,0.81442,0.86117,0.76495,0.4832,0.71003,0.89668,0.00125923,0.00125923,0.00125923
14,256.524,0.53252,0.59812,0.93029,0.84423,0.84098,0.86515,0.7833,0.45583,0.60106,0.88221,0.00124509,0.00124509,0.00124509
15,273.492,0.56778,0.60884,0.96512,0.885,0.84128,0.87073,0.79986,0.42672,0.54233,0.86313,0.00123094,0.00123094,0.00123094
16,290.183,0.52343,0.56359,0.93075,0.93014,0.84804,0.87928,0.82397,0.42359,0.6536,0.86721,0.00121679,0.00121679,0.00121679
17,308.875,0.54132,0.59521,0.94851,0.84429,0.88852,0.88948,0.81082,0.44542,0.55766,0.86688,0.00120265,0.00120265,0.00120265
18,327.182,0.52724,0.57257,0.93694,0.86108,0.84743,0.87885,0.81265,0.44481,0.63462,0.8773,0.0011885,0.0011885,0.0011885
19,345.067,0.53376,0.56453,0.94669,0.94049,0.85929,0.88709,0.82826,0.41632,0.45017,0.85748,0.00117435,0.00117435,0.00117435
20,362.716,0.53211,0.5594,0.94189,0.87106,0.84384,0.89905,0.84036,0.41436,0.50527,0.86151,0.00116021,0.00116021,0.00116021
21,380.5,0.4984,0.52699,0.93242,0.92363,0.85367,0.91933,0.86195,0.40456,0.48649,0.83611,0.00114606,0.00114606,0.00114606
22,397.761,0.49535,0.498,0.93416,0.90127,0.91401,0.92023,0.84038,0.40372,0.41869,0.84554,0.00113191,0.00113191,0.00113191
23,414.388,0.49751,0.5051,0.93191,0.92679,0.86599,0.91683,0.86759,0.37549,0.42903,0.84688,0.00111776,0.00111776,0.00111776
24,431.564,0.51943,0.49698,0.94522,0.94544,0.89384,0.91531,0.8597,0.36586,0.47875,0.83938,0.00110362,0.00110362,0.00110362
25,449.531,0.51823,0.527,0.95202,0.95835,0.8285,0.90957,0.87065,0.36088,0.43793,0.83514,0.00108947,0.00108947,0.00108947
26,466.683,0.50333,0.50309,0.93277,0.93492,0.84283,0.87726,0.83795,0.38125,0.47173,0.8529,0.00107532,0.00107532,0.00107532
27,483.83,0.50094,0.48473,0.93445,0.97639,0.85987,0.89084,0.83443,0.37841,0.43624,0.84429,0.00106118,0.00106118,0.00106118
28,500.42,0.48232,0.4816,0.92557,0.92352,0.88171,0.91438,0.86985,0.38211,0.4251,0.84095,0.00104703,0.00104703,0.00104703
29,518.553,0.48367,0.49742,0.9253,0.95813,0.87583,0.92716,0.87896,0.38451,0.39516,0.8436,0.00103288,0.00103288,0.00103288
30,536.128,0.46722,0.48573,0.92127,0.94097,0.83483,0.91511,0.86946,0.35742,0.40032,0.82985,0.00101873,0.00101873,0.00101873
31,553.004,0.45237,0.44996,0.92028,0.9747,0.87583,0.92295,0.88697,0.37215,0.38568,0.83091,0.00100459,0.00100459,0.00100459
32,570.09,0.47111,0.45348,0.91775,0.90963,0.88359,0.92687,0.87009,0.35004,0.37923,0.82722,0.00099044,0.00099044,0.00099044
33,589.419,0.45704,0.44691,0.91706,0.96688,0.82583,0.92484,0.87199,0.34056,0.37808,0.82713,0.000976293,0.000976293,0.000976293
34,607.7,0.45551,0.45655,0.91587,0.9232,0.83712,0.90557,0.85792,0.35449,0.47152,0.86097,0.000962146,0.000962146,0.000962146
35,624.334,0.44843,0.43014,0.91015,0.95739,0.85075,0.90589,0.86083,0.38151,0.41635,0.84905,0.000947999,0.000947999,0.000947999
36,639.971,0.44645,0.4086,0.91521,0.94497,0.90434,0.93988,0.89335,0.36244,0.37348,0.84291,0.000933851,0.000933851,0.000933851
37,657.779,0.47335,0.42919,0.92484,0.95579,0.89783,0.92999,0.89613,0.3196,0.34533,0.8227,0.000919704,0.000919704,0.000919704
38,675.787,0.43626,0.42935,0.91162,0.96622,0.89384,0.93624,0.87864,0.34719,0.34133,0.83448,0.000905557,0.000905557,0.000905557
39,691.968,0.42614,0.41985,0.90283,0.95366,0.86555,0.93268,0.89251,0.34201,0.36491,0.82419,0.00089141,0.00089141,0.00089141
