epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,586.353,0.52607,3.38129,1.01867,0.01025,0.89858,0.22818,0.21751,0.25751,3.42599,0.80265,0.00140702,0.000469005,0.00140702,0.000469005,0.00140702,0.000469005,0.00140702,0.000469005
2,1063.44,0.50357,2.85655,1.00538,0.88872,0.30268,0.28342,0.26271,0.31068,2.53247,0.8205,0.00277986,0.000926621,0.00277986,0.000926621,0.00277986,0.000926621,0.00277986,0.000926621
3,1562.91,0.50706,2.20195,0.98715,0.29347,0.49872,0.37308,0.35246,0.33152,1.96334,0.82175,0.00409612,0.00136537,0.00409612,0.00136537,0.00409612,0.00136537,0.00409612,0.00136537
4,2131.57,0.49383,1.76775,0.97675,0.29109,0.63331,0.33729,0.31964,0.32717,1.84672,0.81368,0.00403235,0.00134412,0.00403235,0.00134412,0.00403235,0.00134412,0.00403235,0.00134412
5,2701.94,0.508,1.64309,0.97565,0.64525,0.51837,0.37921,0.36249,0.31273,1.71135,0.799,0.00394747,0.00131582,0.00394747,0.00131582,0.00394747,0.00131582,0.00394747,0.00131582
6,3185.6,0.48482,1.57273,0.94756,0.66307,0.49493,0.42358,0.4067,0.3071,1.69346,0.80236,0.00386259,0.00128753,0.00386259,0.00128753,0.00386259,0.00128753,0.00386259,0.00128753
7,3688.03,0.46232,1.46236,0.94234,0.72703,0.44422,0.44995,0.42957,0.30735,1.65296,0.79722,0.0037777,0.00125923,0.0037777,0.00125923,0.0037777,0.00125923,0.0037777,0.00125923
8,4225.35,0.45655,1.36396,0.93475,0.75663,0.40828,0.45257,0.43649,0.30688,1.62303,0.79511,0.00369282,0.00123094,0.00369282,0.00123094,0.00369282,0.00123094,0.00369282,0.00123094
9,4711.27,0.45657,1.27936,0.92766,0.53387,0.47534,0.49522,0.47829,0.30858,1.62638,0.79138,0.00360794,0.00120265,0.00360794,0.00120265,0.00360794,0.00120265,0.00360794,0.00120265
10,5291.41,0.4556,1.26156,0.93277,0.62684,0.47262,0.53893,0.52241,0.28716,1.54139,0.78347,0.00352306,0.00117435,0.00352306,0.00117435,0.00352306,0.00117435,0.00352306,0.00117435
11,6005.4,0.44797,1.26662,0.91607,0.53703,0.5844,0.56122,0.54314,0.28323,1.53831,0.78506,0.00343817,0.00114606,0.00343817,0.00114606,0.00343817,0.00114606,0.00343817,0.00114606
12,6863.73,0.45537,1.19562,0.9454,0.53261,0.61415,0.56448,0.54349,0.27322,1.57142,0.78028,0.00335329,0.00111776,0.00335329,0.00111776,0.00335329,0.00111776,0.00335329,0.00111776
13,7578.61,0.41145,1.14707,0.91584,0.54707,0.73702,0.58023,0.56377,0.2689,1.45557,0.77212,0.00326841,0.00108947,0.00326841,0.00108947,0.00326841,0.00108947,0.00326841,0.00108947
14,8412.98,0.42307,1.08271,0.91281,0.64447,0.67637,0.62627,0.60941,0.26827,1.36343,0.77473,0.00318353,0.00106118,0.00318353,0.00106118,0.00318353,0.00106118,0.00318353,0.00106118
15,9225.54,0.42958,1.07015,0.91551,0.61674,0.67839,0.65712,0.64257,0.27833,1.35078,0.78078,0.00309864,0.00103288,0.00309864,0.00103288,0.00309864,0.00103288,0.00309864,0.00103288
16,9770.59,0.40394,1.00956,0.89852,0.71152,0.6119,0.68838,0.67037,0.28193,1.43559,0.78787,0.00301376,0.00100459,0.00301376,0.00100459,0.00301376,0.00100459,0.00301376,0.00100459
17,10289.6,0.42106,1.04463,0.91142,0.62542,0.59838,0.65682,0.63918,0.26453,1.26276,0.78046,0.00292888,0.000976293,0.00292888,0.000976293,0.00292888,0.000976293,0.00292888,0.000976293
18,10784.2,0.39709,0.99601,0.89992,0.69431,0.47687,0.54749,0.53682,0.2521,1.41753,0.76811,0.002844,0.000947999,0.002844,0.000947999,0.002844,0.000947999,0.002844,0.000947999
19,11294.5,0.4128,0.94798,0.89852,0.60427,0.56807,0.60269,0.58725,0.25929,1.46518,0.77983,0.00275911,0.000919704,0.00275911,0.000919704,0.00275911,0.000919704,0.00275911,0.000919704
20,11805.9,0.39706,0.9751,0.90927,0.59424,0.54812,0.52751,0.50887,0.26264,1.42341,0.78305,0.00267423,0.00089141,0.00267423,0.00089141,0.00267423,0.00089141,0.00267423,0.00089141
21,12314.2,0.38373,0.91879,0.89437,0.58064,0.66674,0.60444,0.58962,0.26961,1.38948,0.78042,0.00258935,0.000863116,0.00258935,0.000863116,0.00258935,0.000863116,0.00258935,0.000863116
22,12820.6,0.37424,0.87369,0.89707,0.54313,0.70733,0.56571,0.54871,0.27128,1.55312,0.78717,0.00250447,0.000834822,0.00250447,0.000834822,0.00250447,0.000834822,0.00250447,0.000834822
23,13326.3,0.36646,0.83274,0.88811,0.48946,0.85608,0.65495,0.63711,0.25902,1.38331,0.7821,0.00241958,0.000806528,0.00241958,0.000806528,0.00241958,0.000806528,0.00241958,0.000806528
24,13830.5,0.39141,0.852,0.90113,0.6457,0.75035,0.69941,0.68674,0.26082,1.29995,0.78216,0.0023347,0.000778233,0.0023347,0.000778233,0.0023347,0.000778233,0.0023347,0.000778233
25,14327.5,0.365,0.86879,0.88853,0.7147,0.6554,0.70156,0.68648,0.25815,1.28539,0.78893,0.00224982,0.000749939,0.00224982,0.000749939,0.00224982,0.000749939,0.00224982,0.000749939
26,14824.7,0.37426,0.82915,0.89807,0.55868,0.57654,0.68309,0.66982,0.25611,1.17718,0.78305,0.00216494,0.000721645,0.00216494,0.000721645,0.00216494,0.000721645,0.00216494,0.000721645
27,15327.5,0.36886,0.79151,0.90005,0.6321,0.78685,0.74945,0.73213,0.26168,1.19722,0.78654,0.00208005,0.000693351,0.00208005,0.000693351,0.00208005,0.000693351,0.00208005,0.000693351
